participant_id,observed_count,predicted_count,raw_residual,pearson_residual,deviance_residual,liking,mentism,interaction,quadrant
22,15.0,13.232350871384051,1.7676491286159486,0.14256891744806077,0.1369103906685587,6.0,3.0,2.055156564205689,high_liking__higher_mentism
23,10.0,6.5763417741387515,3.4236582258612485,0.532884185340359,0.4657640678254827,4.0,-6.0,6.419563343866704,lower_liking__low_mentism
24,28.0,13.600471893862558,14.399528106137442,1.1312708427004345,0.8839330396621,6.0,2.0,1.6399023269175534,high_liking__higher_mentism
25,10.0,12.874193700766584,-2.8741937007665843,-0.23798107030094126,-0.25739379982873284,6.0,4.0,2.470410801493825,high_liking__higher_mentism
26,11.0,11.56816337056328,-0.5681633705632798,-0.0520957329602119,-0.0529300306434265,7.0,5.0,9.834817581154843,high_liking__higher_mentism
27,25.0,12.874193700766584,12.125806299233416,1.0040076145820678,0.8015619366614922,6.0,4.0,2.470410801493825,high_liking__higher_mentism
28,30.0,11.56816337056328,18.43183662943672,1.6900421406283566,1.214547817521389,7.0,5.0,9.834817581154843,high_liking__higher_mentism
29,2.0,9.474874582860421,-7.474874582860421,-0.8279561383722365,-1.238852505596456,4.0,-1.0,-1.5041654696926168,lower_liking__higher_mentism
30,20.0,11.046835899065796,8.953164100934204,0.8577043087708027,0.7028907235669877,5.0,-4.0,1.199224360815857,lower_liking__low_mentism
31,17.0,15.17825530918501,1.82174469081499,0.12880748976921025,0.12415917047388988,6.0,-2.0,-0.021114622234989992,high_liking__low_mentism
32,2.0,11.046835899065796,-9.046835899065796,-0.8666779748358971,-1.345017898634698,5.0,-4.0,1.199224360815857,lower_liking__low_mentism
33,5.0,8.187245858436073,-3.187245858436073,-0.4048745750789123,-0.46806743616221774,4.0,-3.0,1.6653260557311116,lower_liking__low_mentism
35,5.0,15.600510955076341,-10.600510955076341,-0.7299781782294928,-1.008043498365919,6.0,-3.0,-0.4363688595231258,high_liking__low_mentism
36,11.0,7.074604962870362,3.925395037129638,0.5711607148823186,0.49518286910953685,4.0,-5.0,4.83481758115484,lower_liking__low_mentism
37,1.0,13.978833960317889,-12.978833960317889,-0.9931869002665026,-1.8226999719371642,6.0,1.0,1.2246480896294176,high_liking__higher_mentism
38,3.0,13.600471893862558,-10.600471893862558,-0.8328054005659304,-1.2496107516373276,6.0,2.0,1.6399023269175534,high_liking__higher_mentism
39,10.0,15.17825530918501,-5.17825530918501,-0.36613147337446794,-0.41621441704809276,6.0,-2.0,-0.021114622234989992,high_liking__low_mentism
40,10.0,16.93907652827588,-6.93907652827588,-0.4413742622876154,-0.5183634025991022,6.0,-6.0,-1.682131571387533,high_liking__low_mentism
41,11.0,14.36772197428809,-3.3677219742880897,-0.25101300369764173,-0.2727847813192193,6.0,0.0,0.8093938523412817,high_liking__higher_mentism
42,12.0,14.767428765263519,-2.767428765263519,-0.20090424591397235,-0.21441840511182544,6.0,-1.0,0.3941396150531458,high_liking__higher_mentism
43,43.0,12.38055252745769,30.619447472542312,2.6317273772131107,1.6899573301888828,5.0,1.0,-1.7245044527434639,lower_liking__higher_mentism
