exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,dfbetas_exclude_flag,manual_exclude_flag,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
fc090a6ff748439ea823340006f8409b,40,102,101,0.0016009864314792614,0.30137334403474053,0.30356187236737486,0.002188528332634332,0.024215180172936664,0.03958796558046786,0.03824232721937569,-0.0013456383610921663,-0.05443884125133517,-0.05243942644203587,-0.05271846520403146,-0.00027903876199558697,-0.012022583923858715,False,False,False,False,False,False,,0.05443884125133517,0.0392156862745098,False
7d6366e64e6c4cfdba0bab82b1604f44,41,102,101,0.0007268467092002403,0.30137334403474053,0.302234609342629,0.0008612653078884924,0.00952955202645954,0.03958796558046786,0.03998648827556006,0.0003985226950922044,0.016122544035955,-0.05243942644203587,-0.05251651100309399,-7.708456105812167e-05,-0.0033212432492434004,False,False,False,False,False,False,,0.016122544035955,0.0392156862745098,False
37a96095f39f4370a745a7e32ebf11d5,42,102,101,0.00048817275136928476,0.30137334403474053,0.3022916784117398,0.0009183343769992858,0.010160998176921844,0.03958796558046786,0.03967479224178173,8.68266613138699e-05,0.0035126397762715545,-0.05243942644203587,-0.052527165272738804,-8.773883070293392e-05,-0.0037802900498961406,False,False,False,False,False,False,,0.010160998176921844,0.0392156862745098,False
907a2daa3fe54a0ca3ead9847e09b46a,43,102,101,0.026074632001666688,0.30137334403474053,0.3191319564373716,0.017758612402631047,0.19649185826780396,0.03958796558046786,0.03470395404060906,-0.004884011539858797,-0.19758646645021685,-0.05243942644203587,-0.04788509413053473,0.004554332311501139,0.19622665338885728,False,False,False,False,False,False,,0.19758646645021685,0.0392156862745098,False
91783553ab0449c09f5bc3434e2eaa89,44,102,101,0.0028169975901745285,0.30137334403474053,0.3006783813556326,-0.0006949626791079577,-0.007689480751573967,0.03958796558046786,0.03777870453816691,-0.001809261042300947,-0.07319505560476537,-0.05243942644203587,-0.05166868395010384,0.0007707424919320277,0.03320798955194386,False,False,False,False,False,False,,0.07319505560476537,0.0392156862745098,False
cac2c0de502348bfad795df71f2a1e71,45,102,101,0.003439215645306082,0.30137334403474053,0.2963532613018293,-0.005020082732911213,-0.05554518351342012,0.03958796558046786,0.038548975093628174,-0.0010389904868396832,-0.04203316419190499,-0.05243942644203587,-0.05137057994512982,0.0010688464969060493,0.04605201305680463,False,False,False,False,False,False,,0.05554518351342012,0.0392156862745098,False
dff5c0713e614e1fb873826cbbb41705,46,102,101,0.004429719791015509,0.30137334403474053,0.30507748110240396,0.0037041370676634267,0.04098477736898003,0.03958796558046786,0.03737703696042338,-0.002210928620044475,-0.0894448283021198,-0.05243942644203587,-0.05295424139939571,-0.0005148149573598396,-0.022181169332360723,False,False,False,False,False,False,,0.0894448283021198,0.0392156862745098,False
b99a2b7b8dd84149960b13cb998f42d7,47,102,101,0.00011585857260833605,0.30137334403474053,0.3001261729381542,-0.0012471710965863414,-0.013799443379362121,0.03958796558046786,0.03990549847988984,0.00031753289942198365,0.012846039176290675,-0.05243942644203587,-0.05271318631349112,-0.00027375987145524666,-0.011795139162807527,False,False,False,False,False,False,,0.013799443379362121,0.0392156862745098,False
790f52e00a444c14b46f8c7c768fb554,48,102,101,0.005684614847125023,0.30137334403474053,0.3089227125308982,0.007549368496157671,0.08353070673126828,0.03958796558046786,0.040374681671903,0.000786716091435144,0.03182720829744188,-0.05243942644203587,-0.05004436728249698,0.002395059159538887,0.10319283078176136,False,False,False,False,False,False,,0.10319283078176136,0.0392156862745098,False
831af3997c02419d89911a6b60265c07,49,102,101,0.002415743413496841,0.30137334403474053,0.2974246700703647,-0.003948673964375815,-0.04369047915246737,0.03958796558046786,0.03925364819949229,-0.00033431738097556424,-0.01352506836659982,-0.05243942644203587,-0.052801781090984434,-0.0003623546489485638,-0.01561230829017715,False,False,False,False,False,False,,0.04369047915246737,0.0392156862745098,False
