exp_sid,participant_number,exclude_flag,cooks_crosses_threshold,max_abs_dfbetas,cooks_distance,targeted_by
b6d5b977f46a4cf597738d6c4b413a9d,30,False,False,0.035752192408987915,0.0021775811810067357,neither
bbec2a47208a49b19e637fdbe08204c7,31,False,False,0.002674556150316398,3.1992227703867895e-05,neither
cef0e506fa7c47b2bb92964ece39c629,32,False,False,0.04279800093771754,0.00311320401819751,neither
da6b1f80b3814716b99154d8a3760901,33,False,False,0.0646019599584203,0.0016989903545015256,neither
17341d7a428142d89bf00c2b7dbcbcff,34,False,False,0.14836801942748035,0.010110676254381532,neither
5edab9ad89db4ce29278fcd6967dc22f,35,False,False,0.031680717159352584,0.0022718339579063836,neither
cb2739d8df89442f92479d3a7e8b92dd,36,False,False,0.06023385160375605,0.00399318848663414,neither
af0dfcdcede944e5adbf92a4c0ba9b92,37,False,False,0.0642087686252871,0.004241104047632048,neither
d48744259ced44b59415148e3901862e,38,False,False,0.08015029163179054,0.004272233781247359,neither
7d8eefccdb224f898923a6c601c8ab83,39,False,False,0.015621011190950208,0.0008019884052633335,neither
fc090a6ff748439ea823340006f8409b,40,False,False,0.05443884125133517,0.0016009864314792614,neither
7d6366e64e6c4cfdba0bab82b1604f44,41,False,False,0.016122544035955,0.0007268467092002403,neither
37a96095f39f4370a745a7e32ebf11d5,42,False,False,0.010160998176921844,0.00048817275136928476,neither
907a2daa3fe54a0ca3ead9847e09b46a,43,False,False,0.19758646645021685,0.026074632001666688,neither
91783553ab0449c09f5bc3434e2eaa89,44,False,False,0.07319505560476537,0.0028169975901745285,neither
cac2c0de502348bfad795df71f2a1e71,45,False,False,0.05554518351342012,0.003439215645306082,neither
dff5c0713e614e1fb873826cbbb41705,46,False,False,0.0894448283021198,0.004429719791015509,neither
b99a2b7b8dd84149960b13cb998f42d7,47,False,False,0.013799443379362121,0.00011585857260833605,neither
790f52e00a444c14b46f8c7c768fb554,48,False,False,0.10319283078176136,0.005684614847125023,neither
831af3997c02419d89911a6b60265c07,49,False,False,0.04369047915246737,0.002415743413496841,neither
356d6504b5544ddcb690eb6d20063ed4,50,False,False,0.1437460686138822,0.012697365027329151,neither
d14543fe53d641f3af028e703af3092c,51,False,True,0.4457247568303374,0.23024436358981765,cooks_only
74dc6bcfe87f4248847e2a64f90bc1ca,52,False,False,0.16286147181860175,0.011123991670168849,neither
5ff4662ff28f41589cdcda6c6aa93568,53,False,True,0.39569983332293157,0.10269762445870635,cooks_only
df333f2e67a647d69bf090537633a167,54,False,False,0.02871770756390355,0.0009126783650121532,neither
7ef7153ef781485ab8ae506f38dfef3b,55,False,False,0.054438841251335454,0.0016009864314792727,neither
f582a4098ccc4e26a3e07ae72b71605f,56,False,True,0.30772119943367504,0.05619392800880332,cooks_only
4ffbdd7ec010402886737610a08d48fe,57,False,False,0.039053162741161565,0.0008065032702800756,neither
e6e25c421e8c4061a2f8ad2efd66a109,58,False,False,0.061898507384504274,0.002017283074246396,neither
4fd8825c09d445c9a86d8dc79e00cd98,59,False,False,0.07040054918652774,0.003326435813280832,neither
2a8b5848f5ae4523afca35451eabe58b,60,False,False,0.03575219240898764,0.002177581181006748,neither
ab32926de2c04952b8c2e7e4119f53e2,61,False,False,0.0894448283021198,0.0044297197910154965,neither
cf14b27dd2a94c1291f10b2cbb05dd64,62,False,False,0.04128271051734657,0.003978862264552716,neither
32015503ad8c45578f32bc2dcda58aed,63,False,False,0.05393414990499049,0.0015455920582275876,neither
9e259b7e4e614530b3f3da2205837a46,64,False,False,0.05051205871807368,0.00134567173324254,neither
eaf2b998190941bfad65f6b552861e4f,65,False,False,0.030435846310498303,0.0015471530482746812,neither
86e5152601e44bc79e68c7fd0560dde1,66,False,False,0.0154921577402646,0.0007289923022582303,neither
2691c893a7e44918a20165dac64aa688,67,False,False,0.08586340952317191,0.00533952824428611,neither
a4847afbee3440488223989d8a8cc3e4,68,False,False,0.05476512435944372,0.0015567624749753845,neither
7359e266ef9948aca580b49b20692727,69,False,False,0.040206639035589374,0.000861760563915925,neither
8699d4cf905a4fa8bc11601c72ba7be4,70,False,False,0.025993594830107217,0.00036287046363266264,neither
856e3316894747d2b9c9ee1f0f216ce8,71,False,False,0.08478214233284194,0.004243662907980479,neither
18ae6b1aeb664685b0fd2c4e318f50d4,72,False,False,0.03069057195627726,0.001175577189821298,neither
75489e519b9a42568ddcff822ad0a78d,73,False,False,0.019948917811246435,0.0003251520107997972,neither
9b45f7fbf159423e8d0647bc7bcac22c,74,False,False,0.08585250780713194,0.006203113000354058,neither
179b8c2a95e646eca2510d2513c9d519,75,False,False,0.1644019055245852,0.01059210184540583,neither
b09679120fe74756b97eb9314a75dec4,76,True,True,1.3373601908405643,0.9156332225043256,both
e53182617ce146a98d36d15c67820ab1,77,False,False,0.06023385160375666,0.003993188486633982,neither
cc291a6ebaf34cdb8741a0b0fc736589,78,True,True,1.7194716843040185,1.2244354917230162,both
e995e3538f7a4c0aa006b00cdb863b1f,79,False,False,0.04481292560030961,0.0034054769804389264,neither
e4601ef24ef946538fc7489899a2fa2d,80,False,False,0.11428406347123712,0.005285606119951698,neither
f0e003dee178484d90a7f6c8233c95ae,81,False,False,0.08323854926408505,0.003665262578590066,neither
6cd6c028d70a43c88544ff8fa4d4af0f,82,False,False,0.02838717315259999,0.0008149007428648717,neither
4b49247f549d494a8fb63f53e2b7503f,83,False,False,0.006771851502385314,6.0692343051378246e-05,neither
036595932d434e31953def9f9d6d6925,84,False,False,0.0017062646558449457,1.5946015325201223e-06,neither
6ef02b96983e45069d1b474941116646,85,False,False,0.009796754722729844,4.571042809114941e-05,neither
29f3281611134ec99e6253f3ba8577f6,86,False,False,0.11102045615040475,0.004556627619844444,neither
b25159abbbbd4325b7db1ca255b54e0f,87,False,False,0.03724557090128593,0.0009572249365092056,neither
3eb0c114aa4148f1b53368b9104e5494,88,False,False,0.04740331442998641,0.0017312861551256865,neither
3bcabb5c49e047648a901f992091f96b,89,False,False,0.07556380038652845,0.0031305805690360275,neither
6f42e8850a04453d827fbc7e5c24f0cd,90,False,False,0.055545183513420734,0.003439215645306155,neither
56cbbb378c52498b954a8fab34ec0c8b,91,False,False,0.056734133464799795,0.0027115305700802753,neither
cac7f82de156438db54cf8562985564c,92,False,False,0.015621011190949594,0.0008019884052633268,neither
a0f2fb5dabb146c2830289f564f52723,93,False,True,0.2802793927220422,0.08714915118249589,cooks_only
e312b7d80e494d47aa5f5b624b07fb52,94,False,False,0.0271758126866867,0.0004924486484348986,neither
9fe6b2f6555c47e9ac69dd8a62679aaf,95,False,False,0.027231867986031295,0.0016415373127485013,neither
3e0a216249f6428a879be37b1eb5f75f,96,False,False,0.07456546672882768,0.0058958125684311115,neither
0503638ffc4841e7a0e1111abdca18e9,97,False,False,0.1158250623403024,0.00670216122236076,neither
51fdf791ec3446e99d9b0ed31790ea8e,98,True,True,0.6692379389513642,0.15481855735303154,both
a7eaeb8e27f545dea3a9aa7dbdca372a,99,False,False,0.15481947282254085,0.009461190920507768,neither
2389f9c564314743a5900f16e31d8416,100,False,False,0.09629567439677957,0.005163467314077,neither
07dd2d8b11c14d899c947ce60d0acebf,101,False,True,0.47014999930512386,0.10880202808573947,cooks_only
87d85fdb81a34e5fb43c540288216aaf,102,False,False,0.23538509451827114,0.02957449487693494,neither
54c0bc6aeb364c928a0a270057f5bdbb,103,False,True,0.3019030389954151,0.10579054225176975,cooks_only
