exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
790f52e00a444c14b46f8c7c768fb554,48,99,98,0.003957136592178561,0.23439069313776092,0.24065000630422403,0.00625931316646311,0.06784060077936649,0.050638179803989665,0.05125722740237763,0.0006190475983879618,0.02447922947072902,-0.0719810021435328,-0.06998259214489662,0.0019984099986361803,0.08377318325313536,False,False,False,False,False,False,False,,0.08377318325313536,0.04040404040404041,False
831af3997c02419d89911a6b60265c07,49,99,98,0.002803762852898928,0.23439069313776092,0.22958849384448418,-0.004802199293276743,-0.05204789670273537,0.050638179803989665,0.05041601236385842,-0.00022216744013124623,-0.008785249732103616,-0.0719810021435328,-0.07245319325608456,-0.0004721911125517564,-0.01979421271375538,False,False,False,False,False,False,False,,0.05204789670273537,0.04040404040404041,False
356d6504b5544ddcb690eb6d20063ed4,50,99,98,0.01167532957939979,0.23439069313776092,0.2463943439675074,0.01200365082974647,0.13009971895940303,0.050638179803989665,0.051486145625833334,0.0008479658218436686,0.03353142793914463,-0.0719810021435328,-0.06878825844289695,0.0031927437006358528,0.13383955409360135,False,False,False,False,False,False,False,,0.13383955409360135,0.04040404040404041,False
d14543fe53d641f3af028e703af3092c,51,99,98,0.2404661637287235,0.23439069313776092,0.19252737205731382,-0.0418633210804471,-0.45372915161582167,0.050638179803989665,0.062188624389041006,0.01155044458505134,0.4567435270287765,-0.0719810021435328,-0.06246051689676702,0.009520485246765777,0.3990979607690007,False,False,False,False,False,False,False,,0.4567435270287765,0.04040404040404041,True
74dc6bcfe87f4248847e2a64f90bc1ca,52,99,98,0.003301593467043031,0.23439069313776092,0.24067852042039956,0.0062878272826386306,0.06814964663161821,0.050638179803989665,0.048377572643960365,-0.0022606071600293,-0.08939202988208604,-0.0719810021435328,-0.07000058935057508,0.0019804127929577142,0.0830187418670457,False,False,False,False,False,False,False,,0.08939202988208604,0.04040404040404041,False
5ff4662ff28f41589cdcda6c6aa93568,53,99,98,0.14154724981282218,0.23439069313776092,0.26093002834312345,0.02653933520536253,0.28764249315139245,0.050638179803989665,0.056933032328192267,0.0062948525242026016,0.24891969506968664,-0.0719810021435328,-0.08315384926510709,-0.011172847121574292,-0.4683648350507024,False,False,False,False,False,False,False,,0.4683648350507024,0.04040404040404041,True
df333f2e67a647d69bf090537633a167,54,99,98,0.001066125211107285,0.23439069313776092,0.23445802546360428,6.733232584335558e-05,0.0007297710332755928,0.050638179803989665,0.0514989489826658,0.0008607691786761337,0.034037715841260224,-0.0719810021435328,-0.07220214130716876,-0.0002211391636359611,-0.009270135603986793,False,False,False,False,False,False,False,,0.034037715841260224,0.04040404040404041,False
7ef7153ef781485ab8ae506f38dfef3b,55,99,98,0.001541160091512734,0.23439069313776092,0.23654891779562656,0.0021582246578656372,0.02339158522870026,0.050638179803989665,0.04927734049535749,-0.001360839308632178,-0.05381217501778958,-0.0719810021435328,-0.07216984769249249,-0.0001888455489596902,-0.007916389925158302,False,False,False,False,False,False,False,,0.05381217501778958,0.04040404040404041,False
f582a4098ccc4e26a3e07ae72b71605f,56,99,98,0.057696248167934755,0.23439069313776092,0.2637184766223264,0.029327783484565467,0.3178646599406938,0.050638179803989665,0.052397175657708656,0.0017589958537189906,0.06955662739565747,-0.0719810021435328,-0.07370630342884996,-0.0017253012853171573,-0.0723244883884597,False,False,False,False,False,False,False,,0.3178646599406938,0.04040404040404041,True
4ffbdd7ec010402886737610a08d48fe,57,99,98,0.0007443584415737687,0.23439069313776092,0.23399539027861135,-0.0003953028591495711,-0.004284429096501293,0.050638179803989665,0.04970855874716332,-0.0009296210568263477,-0.03676035127207161,-0.0719810021435328,-0.07150455446810942,0.00047644767542337485,0.019972647480252716,False,False,False,False,False,False,False,,0.03676035127207161,0.04040404040404041,False
e6e25c421e8c4061a2f8ad2efd66a109,58,99,98,0.0020514962102523232,0.23439069313776092,0.23379493394659165,-0.0005957591911692761,-0.0064570441474796824,0.050638179803989665,0.0490860497813614,-0.001552130022628266,-0.0613764548820904,-0.0719810021435328,-0.0712098582503091,0.0007711438932237052,0.03232628876239257,False,False,False,False,False,False,False,,0.0613764548820904,0.04040404040404041,False
4fd8825c09d445c9a86d8dc79e00cd98,59,99,98,0.003742082536193269,0.23439069313776092,0.23408927715025496,-0.0003014159875059652,-0.003266850712386579,0.050638179803989665,0.052649203198063904,0.002011023394074239,0.07952264617897098,-0.0719810021435328,-0.0724048196347474,-0.00042381749121460366,-0.017766394474424786,False,False,False,False,False,False,False,,0.07952264617897098,0.04040404040404041,False
2a8b5848f5ae4523afca35451eabe58b,60,99,98,0.002226484187019805,0.23439069313776092,0.2373566830011917,0.0029659898634307735,0.032146423879020135,0.050638179803989665,0.051468552174865664,0.0008303723708759994,0.03283572356271042,-0.0719810021435328,-0.0720410278477601,-6.0025704227306687e-05,-0.0025162725984980094,False,False,False,False,False,False,False,,0.03283572356271042,0.04040404040404041,False
ab32926de2c04952b8c2e7e4119f53e2,61,99,98,0.004477020997187574,0.23439069313776092,0.23819466425905478,0.003803971121293853,0.041228754553873356,0.050638179803989665,0.048343574524635606,-0.002294605279354059,-0.0907364301619534,-0.0719810021435328,-0.07235181365054603,-0.0003708115070132356,-0.015544387963726572,False,False,False,False,False,False,False,,0.0907364301619534,0.04040404040404041,False
cf14b27dd2a94c1291f10b2cbb05dd64,62,99,98,0.004294302851825681,0.23439069313776092,0.2358244383900646,0.0014337452523036642,0.015539426881848478,0.050638179803989665,0.05184492356542069,0.0012067437614310256,0.04771871747078116,-0.0719810021435328,-0.07267352717458737,-0.000692525031054575,-0.02903059250779903,False,False,False,False,False,False,False,,0.04771871747078116,0.04040404040404041,False
32015503ad8c45578f32bc2dcda58aed,63,99,98,0.003636415383253258,0.23439069313776092,0.22728300862537829,-0.007107684512382639,-0.07703554282181779,0.050638179803989665,0.052785534694086846,0.0021473548900971806,0.08491365324195592,-0.0719810021435328,-0.07393471414480417,-0.0019537120012713682,-0.0818994468692872,False,False,False,False,False,False,False,,0.08491365324195592,0.04040404040404041,False
9e259b7e4e614530b3f3da2205837a46,64,99,98,0.0013195447867154716,0.23439069313776092,0.23389383945166353,-0.0004968536860973927,-0.005385072078656882,0.050638179803989665,0.049396195278817834,-0.0012419845251718312,-0.04911225610105994,-0.0719810021435328,-0.07135570874310439,0.0006252934004284116,0.026212248065619295,False,False,False,False,False,False,False,,0.04911225610105994,0.04040404040404041,False
eaf2b998190941bfad65f6b552861e4f,65,99,98,0.0017402683491874885,0.23439069313776092,0.23171943379386095,-0.002671259343899973,-0.02895203258060831,0.050638179803989665,0.049901413237066115,-0.0007367665669235496,-0.029134234435362158,-0.0719810021435328,-0.07189535606298975,8.564608054305312e-05,0.003590276672525893,False,False,False,False,False,False,False,,0.029134234435362158,0.04040404040404041,False
86e5152601e44bc79e68c7fd0560dde1,66,99,98,0.0007300977079268937,0.23439069313776092,0.2332616058699506,-0.0011290872678103303,-0.012237438284921083,0.050638179803989665,0.05076707500280942,0.0001288951988197562,0.005096950796353191,-0.0719810021435328,-0.07172795624109037,0.00025304590244243363,0.010607663478081047,False,False,False,False,False,False,False,,0.012237438284921083,0.04040404040404041,False
2691c893a7e44918a20165dac64aa688,67,99,98,0.005476907214076989,0.23439069313776092,0.2386378553792112,0.004247162241450275,0.046032213184539914,0.050638179803989665,0.04843347374734434,-0.002204706056645328,-0.08718151175558553,-0.0719810021435328,-0.0724960542235755,-0.0005150520800426966,-0.021590940955945735,False,False,False,False,False,False,False,,0.08718151175558553,0.04040404040404041,False
a4847afbee3440488223989d8a8cc3e4,68,99,98,0.0022007065796098057,0.23439069313776092,0.23487992012345513,0.0004892269856942022,0.005302411262117319,0.050638179803989665,0.052265683479413065,0.0016275036754234001,0.06435698327380675,-0.0719810021435328,-0.07275232592952369,-0.0007713237859908878,-0.03233382985243985,False,False,False,False,False,False,False,,0.06435698327380675,0.04040404040404041,False
7359e266ef9948aca580b49b20692727,69,99,98,0.0007931972293885042,0.23439069313776092,0.23590838743856082,0.0015176943007998989,0.01644929570185814,0.050638179803989665,0.049656181234562995,-0.0009819985694266703,-0.0388315347374273,-0.0719810021435328,-0.07210419937805265,-0.00012319723451985343,-0.005164417967661546,False,False,False,False,False,False,False,,0.0388315347374273,0.04040404040404041,False
8699d4cf905a4fa8bc11601c72ba7be4,70,99,98,0.000535521488198745,0.23439069313776092,0.23400581454449695,-0.0003848785932639709,-0.004171447297771039,0.050638179803989665,0.05148759051854339,0.0008494107145537236,0.033588563869083016,-0.0719810021435328,-0.07208586093443832,-0.00010485879090552097,-0.00439567191528531,False,False,False,False,False,False,False,,0.033588563869083016,0.04040404040404041,False
