exp_sid,participant_number,exclude_flag,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,cooks_crosses_threshold,max_abs_dfbetas,cooks_distance,targeted_by
e4601ef24ef946538fc7489899a2fa2d,80,False,False,False,False,False,0.12956115686559794,0.00644524290775052,neither
f0e003dee178484d90a7f6c8233c95ae,81,False,False,False,False,False,0.06300643665438935,0.0021844283009673665,neither
6cd6c028d70a43c88544ff8fa4d4af0f,82,False,False,False,False,False,0.027595554962409168,0.0008278421381605493,neither
4b49247f549d494a8fb63f53e2b7503f,83,False,False,False,False,False,0.007146016978916925,6.876747377620498e-05,neither
036595932d434e31953def9f9d6d6925,84,False,False,False,False,False,0.0016121034213913263,2.6701170310140867e-06,neither
6ef02b96983e45069d1b474941116646,85,False,False,False,False,False,0.004642755066019913,1.0037334462216536e-05,neither
29f3281611134ec99e6253f3ba8577f6,86,False,False,False,False,False,0.1271741803393077,0.005570051468872997,neither
b25159abbbbd4325b7db1ca255b54e0f,87,False,False,False,False,False,0.043926248911463475,0.0011627808164506104,neither
3eb0c114aa4148f1b53368b9104e5494,88,False,False,False,False,False,0.046305883981151,0.001839726921679498,neither
3bcabb5c49e047648a901f992091f96b,89,False,False,False,False,False,0.07560594550773063,0.003150310071878754,neither
6f42e8850a04453d827fbc7e5c24f0cd,90,False,False,False,False,False,0.058646372242779965,0.003768649764388801,neither
56cbbb378c52498b954a8fab34ec0c8b,91,False,False,False,False,False,0.06847342926541122,0.003353270933844681,neither
cac7f82de156438db54cf8562985564c,92,False,False,False,False,False,0.012375856670452911,0.0008551087777676937,neither
a0f2fb5dabb146c2830289f564f52723,93,False,False,False,False,False,0.2831575306367617,0.08755277918150428,neither
e312b7d80e494d47aa5f5b624b07fb52,94,False,False,False,False,False,0.02630986815149636,0.00047696166414586854,neither
9fe6b2f6555c47e9ac69dd8a62679aaf,95,False,False,False,False,False,0.025516259073053372,0.0017029878456691473,neither
3e0a216249f6428a879be37b1eb5f75f,96,False,False,False,False,False,0.07394008352940769,0.006178934950342858,neither
0503638ffc4841e7a0e1111abdca18e9,97,False,False,False,False,False,0.09232545891291627,0.004454468895054213,neither
a7eaeb8e27f545dea3a9aa7dbdca372a,99,False,False,False,False,False,0.21212834200056307,0.017453940587790283,neither
2389f9c564314743a5900f16e31d8416,100,False,False,False,False,False,0.09713982921489922,0.005268908823323276,neither
07dd2d8b11c14d899c947ce60d0acebf,101,False,False,False,False,False,0.5010424541366969,0.12693183721675805,neither
87d85fdb81a34e5fb43c540288216aaf,102,False,False,False,False,False,0.2276567380179038,0.028952876982313115,neither
54c0bc6aeb364c928a0a270057f5bdbb,103,False,False,False,False,False,0.3149328788383049,0.11325844271554061,neither
