exp_sid,participant_number,n_full,n_leave_one_out,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,exclude_flag
7d6366e64e6c4cfdba0bab82b1604f44,41,99,98,0.23888451651824916,0.24000480449415773,0.0011202879759085738,0.012493655381770186,0.058054409845137316,0.05840949017440383,0.0003550803292665175,0.014767657750773803,-0.03788245860110219,-0.03795684453486603,-7.438593376384028e-05,-0.003292801787244593,False,False,False,False
37a96095f39f4370a745a7e32ebf11d5,42,99,98,0.23888451651824916,0.23995789556235106,0.001073379044101902,0.011970518437589197,0.058054409845137316,0.05811053574689936,5.612590176204413e-05,0.0023342552089200643,-0.03788245860110219,-0.0379664393895463,-8.398078844411294e-05,-0.0037175320156753893,False,False,False,False
907a2daa3fe54a0ca3ead9847e09b46a,43,99,98,0.23888451651824916,0.2572290360368832,0.018344519518634028,0.20458142008004052,0.058054409845137316,0.05283301022055173,-0.005221399624585586,-0.21715605253374334,-0.03788245860110219,-0.03319348125768725,0.004688977343414939,0.20756441702761264,False,False,False,False
91783553ab0449c09f5bc3434e2eaa89,44,99,98,0.23888451651824916,0.23832295744366772,-0.0005615590745814414,-0.006262608994474182,0.058054409845137316,0.05626907567932217,-0.0017853341658151459,-0.07425137851478117,-0.03788245860110219,-0.03713377743842817,0.0007486811626740211,0.033141462986215314,False,False,False,False
cac2c0de502348bfad795df71f2a1e71,45,99,98,0.23888451651824916,0.23313638001642775,-0.005748136501821405,-0.06410426433693282,0.058054409845137316,0.05694979027134582,-0.0011046195737914946,-0.04594071387805438,-0.03788245860110219,-0.036677820682563006,0.0012046379185391837,0.05332505341321197,False,False,False,False
dff5c0713e614e1fb873826cbbb41705,46,99,98,0.23888451651824916,0.2430863998362015,0.0042018833179523485,0.04686016743715365,0.058054409845137316,0.055948273894205154,-0.0021061359509321614,-0.08759340446770149,-0.03788245860110219,-0.038443073901469935,-0.000560615300367745,-0.024816453455679156,False,False,False,False
b99a2b7b8dd84149960b13cb998f42d7,47,99,98,0.23888451651824916,0.23772597872759788,-0.0011585377906512817,-0.012920224276633469,0.058054409845137316,0.058364850177422746,0.00031044033228543044,0.012911097014858005,-0.03788245860110219,-0.03814262354243686,-0.00026016494133467016,-0.011516580359466065,False,False,False,False
790f52e00a444c14b46f8c7c768fb554,48,99,98,0.23888451651824916,0.24756752537073826,0.0086830088524891,0.09683449489125982,0.058054409845137316,0.05880807084589513,0.0007536610007578132,0.03134447842348149,-0.03788245860110219,-0.035189109889685245,0.0026933487114169444,0.11922500668987741,False,False,False,False
831af3997c02419d89911a6b60265c07,49,99,98,0.23888451651824916,0.23501205901465064,-0.00387245750359852,-0.04318635080526683,0.058054409845137316,0.05771851298339817,-0.0003358968617391475,-0.013969824529478555,-0.03788245860110219,-0.03823387160998515,-0.0003514130088829587,-0.015555809077889133,False,False,False,False
356d6504b5544ddcb690eb6d20063ed4,50,99,98,0.23888451651824916,0.2525336021694449,0.01364908565119577,0.15221708709673848,0.058054409845137316,0.05889462082691948,0.0008402109817821635,0.03494405968089387,-0.03788245860110219,-0.03433978126954886,0.0035426773315533275,0.15682177609015016,False,False,False,False
d14543fe53d641f3af028e703af3092c,51,99,98,0.23888451651824916,0.15491426530753116,-0.083970251210718,-0.9364515227404329,0.058054409845137316,0.07780545355014284,0.01975104370500553,0.8214385017007497,-0.03788245860110219,-0.018796425751137387,0.019086032849964803,0.844871064995939,True,True,True,True
74dc6bcfe87f4248847e2a64f90bc1ca,52,99,98,0.23888451651824916,0.24943836960107213,0.010553853082822973,0.11769849021157737,0.058054409845137316,0.053980293779444265,-0.004074116065693051,-0.16944095951292495,-0.03788245860110219,-0.034670628503140094,0.0032118300979620956,0.1421763410333987,False,False,False,False
5ff4662ff28f41589cdcda6c6aa93568,53,99,98,0.23888451651824916,0.2593492334401283,0.020464716921879123,0.22822624736294084,0.058054409845137316,0.062093131373451696,0.00403872152831438,0.16796891397513103,-0.03788245860110219,-0.04534278401164051,-0.007460325410538322,-0.3302421788941541,False,False,False,False
df333f2e67a647d69bf090537633a167,54,99,98,0.23888451651824916,0.2398188413196502,0.000934324801401043,0.010419760217348025,0.058054409845137316,0.0587310572657177,0.0006766474205803855,0.028141512501456606,-0.03788245860110219,-0.03791991218444963,-3.745358334743959e-05,-0.0016579374613579691,False,False,False,False
7ef7153ef781485ab8ae506f38dfef3b,55,99,98,0.23888451651824916,0.24083609147492743,0.0019515749566782759,0.021764319072207276,0.058054409845137316,0.05704979535128018,-0.0010046144938571366,-0.04178154010219342,-0.03788245860110219,-0.03811942374859716,-0.00023696514749497327,-0.010489607667806515,False,False,False,False
f582a4098ccc4e26a3e07ae72b71605f,56,99,98,0.23888451651824916,0.2671072350845649,0.028222718566315752,0.3147448935335284,0.058054409845137316,0.06001339193580906,0.001958982090671746,0.08147333059731847,-0.03788245860110219,-0.03992281247284782,-0.0020403538717456288,-0.09031923826922973,False,False,False,False
4ffbdd7ec010402886737610a08d48fe,57,99,98,0.23888451651824916,0.23860480214156288,-0.00027971437668627974,-0.003119425632334225,0.058054409845137316,0.05720550264606904,-0.0008489071990682787,-0.03530573209702853,-0.03788245860110219,-0.03750889779396038,0.00037356080714180673,0.016536213651713528,False,False,False,False
e6e25c421e8c4061a2f8ad2efd66a109,58,99,98,0.23888451651824916,0.2384156919820166,-0.0004688245362325649,-0.005228416546609361,0.058054409845137316,0.05657897341814276,-0.0014754364269945544,-0.06136284775867115,-0.03788245860110219,-0.03725608162813203,0.0006263769729701607,0.027727489751397348,False,False,False,False
4fd8825c09d445c9a86d8dc79e00cd98,59,99,98,0.23888451651824916,0.24012059315160636,0.0012360766333572026,0.013784951561315243,0.058054409845137316,0.059803716815193614,0.0017493069700562983,0.07275302095218171,-0.03788245860110219,-0.03792503685568189,-4.257825457969905e-05,-0.0018847885034675967,False,False,False,False
2a8b5848f5ae4523afca35451eabe58b,60,99,98,0.23888451651824916,0.24178993338089957,0.0029054168626504173,0.032401737591532094,0.058054409845137316,0.059091309948072074,0.0010369001029347583,0.043124286477692376,-0.03788245860110219,-0.03796870052054988,-8.624191944769238e-05,-0.0038176242755026076,False,False,False,False
ab32926de2c04952b8c2e7e4119f53e2,61,99,98,0.23888451651824916,0.2430863998362016,0.004201883317952432,0.04686016743715458,0.058054409845137316,0.055948273894205154,-0.0021061359509321614,-0.08759340446770149,-0.03788245860110219,-0.03844307390146992,-0.0005606153003677311,-0.024816453455678542,False,False,False,False
