exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_mentism_c,loo_beta_mentism_c,delta_beta_mentism_c,dfbetas_mentism_c,full_beta_like_x_mentism,loo_beta_like_x_mentism,delta_beta_like_x_mentism,dfbetas_like_x_mentism,crosses_like_c,crosses_mentism_c,crosses_like_x_mentism,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
d14543fe53d641f3af028e703af3092c,51,100,99,0.24523520748182048,0.2329171564899848,0.19068456018403449,-0.042232596305950304,-0.4622465692717583,0.04983475260711049,0.06145230091845625,0.01161754831134576,0.46286023491734135,-0.06980909765707793,-0.06036819794893691,0.009440899708141028,0.40154750459450095,False,False,False,False,False,False,False,,0.46286023491734135,0.04,True
74dc6bcfe87f4248847e2a64f90bc1ca,52,100,99,0.00362420796705363,0.2329171564899848,0.239473771572785,0.006556615082800199,0.07176382920206212,0.04983475260711049,0.04747203572191409,-0.002362716885196403,-0.094134120488843,-0.06980909765707793,-0.06777464286091503,0.0020344547961629045,0.08653097393938815,False,False,False,False,False,False,False,,0.094134120488843,0.04,False
5ff4662ff28f41589cdcda6c6aa93568,53,100,99,0.11383461160336601,0.2329171564899848,0.2568837338251258,0.023966577335141015,0.26232031935944056,0.04983475260711049,0.05526568403700695,0.005430931429896459,0.216376306781259,-0.06980909765707793,-0.079480534414824,-0.009671436757746066,-0.41135288118436725,False,False,False,False,False,False,False,,0.41135288118436725,0.04,True
df333f2e67a647d69bf090537633a167,54,100,99,0.0010678594768516346,0.2329171564899848,0.23300910132510447,9.194483511967833e-05,0.0010063597390137398,0.04983475260711049,0.05069014640937428,0.000855393802263793,0.03408014889647516,-0.06980909765707793,-0.07002209194768022,-0.00021299429060228636,-0.009059234662822714,False,False,False,False,False,False,False,,0.03408014889647516,0.04,False
7ef7153ef781485ab8ae506f38dfef3b,55,100,99,0.0015739658379881564,0.2329171564899848,0.23513679088016134,0.002219634390176556,0.0242944661621991,0.04983475260711049,0.04848481255524407,-0.0013499400518664217,-0.05378359984274859,-0.06980909765707793,-0.07002454734652756,-0.00021544968944962883,-0.0091636695483119,False,False,False,False,False,False,False,,0.05378359984274859,0.04,False
f582a4098ccc4e26a3e07ae72b71605f,56,100,99,0.05152441302013066,0.2329171564899848,0.260628092033373,0.027710935543388215,0.30330327772051474,0.04983475260711049,0.05127649783924664,0.0014417452321361518,0.0574412534343224,-0.06980909765707793,-0.07113524444287021,-0.0013261467857922787,-0.05640468059434162,False,False,False,False,False,False,False,,0.30330327772051474,0.04,True
4ffbdd7ec010402886737610a08d48fe,57,100,99,0.0007858740048419991,0.2329171564899848,0.23254864244908569,-0.0003685140408991039,-0.00403348044008563,0.04983475260711049,0.048890694045113404,-0.0009440585619970854,-0.03761268350870157,-0.06980909765707793,-0.0693561808958268,0.00045291676125112923,0.019263799096667363,False,False,False,False,False,False,False,,0.03761268350870157,0.04,False
e6e25c421e8c4061a2f8ad2efd66a109,58,100,99,0.0020547376434127164,0.2329171564899848,0.2323783075327536,-0.0005388489572311916,-0.00589783966941878,0.04983475260711049,0.04830148045193425,-0.001533272155176242,-0.06108782084805328,-0.06980909765707793,-0.069094759492748,0.0007143381643299335,0.030382772425381697,False,False,False,False,False,False,False,,0.06108782084805328,0.04,False
4fd8825c09d445c9a86d8dc79e00cd98,59,100,99,0.003743359122473038,0.2329171564899848,0.23263134012377057,-0.0002858163662142199,-0.0031283332373678646,0.04983475260711049,0.051829063229158166,0.0019943106220476764,0.07945627238043373,-0.06980909765707793,-0.07020863626800185,-0.0003995386109239135,-0.01699347913497125,False,False,False,False,False,False,False,,0.07945627238043373,0.04,False
2a8b5848f5ae4523afca35451eabe58b,60,100,99,0.002012630630660077,0.2329171564899848,0.235673868365207,0.002756711875222223,0.030172916615421295,0.04983475260711049,0.05058585782048766,0.000751105213377172,0.029925137920181852,-0.06980909765707793,-0.069809394843306,-2.9718622807095585e-07,-1.2640149982616671e-05,False,False,False,False,False,False,False,,0.030172916615421295,0.04,False
ab32926de2c04952b8c2e7e4119f53e2,61,100,99,0.00450221989708165,0.2329171564899848,0.23677671910125228,0.003859562611267492,0.04224390002034004,0.04983475260711049,0.04757557649013429,-0.002259176116976201,-0.09000890378928161,-0.06980909765707793,-0.07021948690065007,-0.0004103892435721318,-0.017454986469850203,False,False,False,False,False,False,False,,0.09000890378928161,0.04,False
cf14b27dd2a94c1291f10b2cbb05dd64,62,100,99,0.00430856553814381,0.2329171564899848,0.23435957763551502,0.001442421145530226,0.015787668395666338,0.04983475260711049,0.05103854352074495,0.001203790913634463,0.04796080292879495,-0.06980909765707793,-0.07048185423644164,-0.0006727565793637064,-0.028614192925922058,False,False,False,False,False,False,False,,0.04796080292879495,0.04,False
